id,suburb,fuel_code,Jun_2018,Nov_2018,Feb_2019,Mar_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Oct_2019
10000,Abbotsbury,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10001,Abbotsford,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002,Acacia Gardens,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003,Agnes Banks,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10004,Airds,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10005,Alexandria,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10006,Alfords Point,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10007,Allambie Heights,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10008,Allawah,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009,Ambarvale,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010,Annandale,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10011,Annangrove,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012,Arcadia,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10013,Arncliffe,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10014,Arndell Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10015,Artarmon,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10016,Ashbury,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017,Ashcroft,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10018,Ashfield,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10019,Asquith,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10020,Auburn,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021,Austral,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10022,Avalon Beach,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10023,Badgerys Creek,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10024,Balgowlah,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10025,Balgowlah Heights,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10026,Balmain,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10027,Balmain East,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10028,Bangor,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10029,Banksia,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10030,Banksmeadow,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10031,Bankstown,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10032,Bankstown Aerodrome,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10033,Barangaroo,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10034,Barden Ridge,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10035,Bardia,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10036,Bardwell Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10037,Bardwell Valley,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10038,Bass Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10039,Baulkham Hills,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10040,Bayview,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10041,Beacon Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10042,Beaconsfield,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10043,Beaumont Hills,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10044,Beecroft,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10045,Belfield,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10046,Bella Vista,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10047,Bellevue Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10048,Belmore,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049,Belrose,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10050,Berala,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10051,Berkshire Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10052,Berowra,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10053,Berowra Creek,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10054,Berowra Heights,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10055,Berowra Waters,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10056,Berrilee,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10057,Beverley Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10058,Beverly Hills,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10059,Bexley,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10060,Bexley North,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10061,Bickley Vale,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10062,Bidwill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10063,Bilgola Beach,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10064,Bilgola Plateau,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10065,Birchgrove,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10066,Birrong,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10067,Blackett,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10068,Blacktown,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10069,Blair Athol,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10070,Blairmount,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10071,Blakehurst,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10072,Bligh Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10073,Bondi,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10074,Bondi Beach,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10075,Bondi Junction,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10076,Bonnet Bay,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10077,Bonnyrigg,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10078,Bonnyrigg Heights,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10079,Bossley Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10080,Botany,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10081,Bow Bowing,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10082,Box Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10083,Bradbury,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10084,Breakfast Point,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10085,Brighton-Le-Sands,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10086,Bringelly,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10087,Bronte,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10088,Brooklyn,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10089,Brookvale,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10090,Bundeena,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10091,Bungarribee,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10092,Burraneer,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10093,Burwood,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10094,Burwood Heights,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10095,Busby,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10096,Cabarita,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10097,Cabramatta,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10098,Cabramatta West,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10099,Caddens,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10100,Cambridge Gardens,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10101,Cambridge Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10102,Camden,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10103,Camden South,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10104,Camellia,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10105,Cammeray,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10106,Campbelltown,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10107,Camperdown,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10108,Campsie,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10109,Canada Bay,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10110,Canley Heights,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10111,Canley Vale,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10112,Canoelands,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10113,Canterbury,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10114,Caringbah,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10115,Caringbah South,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10116,Carlingford,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10117,Carlton,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10118,Carnes Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10119,Carramar,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10120,Carss Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10121,Cartwright,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10122,Castle Cove,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10123,Castle Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10124,Castlecrag,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10125,Castlereagh,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10126,Casula,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10127,Catherine Field,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10128,Cattai,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10129,Cawdor,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10130,Cecil Hills,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10131,Cecil Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10132,Centennial Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10133,Chatswood,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10134,Chatswood West,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10135,Cheltenham,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10136,Cherrybrook,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10137,Chester Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10138,Chifley,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10139,Chippendale,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10140,Chipping Norton,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141,Chiswick,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10142,Chullora,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10143,Church Point,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10144,Claremont Meadows,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10145,Clarendon,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10146,Clareville,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10147,Claymore,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10148,Clemton Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10149,Clontarf,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10150,Clovelly,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10151,Clyde,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10152,Coasters Retreat,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10153,Cobbitty,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10154,Colebee,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10155,Collaroy,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10156,Collaroy Plateau,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10157,Colyton,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10158,Como,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10159,Concord,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10160,Concord West,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10161,Condell Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10162,Connells Point,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10163,Constitution Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10164,Coogee,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10165,Cornwallis,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10166,Cottage Point,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10167,Cowan,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10168,Cranebrook,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10169,Cremorne,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10170,Cremorne Point,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10171,Cromer,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10172,Cronulla,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10173,Crows Nest,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10174,Croydon,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10175,Croydon Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10176,Cumberland Reach,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10177,Curl Curl,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10178,Currans Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10179,Currawong Beach,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10180,Daceyville,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10181,Dangar Island,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10182,Darling Point,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10183,Darlinghurst,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10184,Darlington,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10185,Davidson,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10186,Dawes Point,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10187,Dean Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10188,Dee Why,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10189,Denham Court,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10190,Denistone,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10191,Denistone East,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10192,Denistone West,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10193,Dharruk,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10194,Dolans Bay,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10195,Dolls Point,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10196,Doonside,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10197,Double Bay,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10198,Dover Heights,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10199,Drummoyne,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10200,Duffys Forest,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10201,Dulwich Hill,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10202,Dundas,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10203,Dundas Valley,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10204,Dural,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10205,Eagle Vale,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10206,Earlwood,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10207,East Gordon,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10208,East Hills,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10209,East Killara,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10210,East Kurrajong,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10211,East Lindfield,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10212,East Ryde,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10213,Eastern Creek,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10214,Eastgardens,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10215,Eastlakes,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10216,Eastwood,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10217,Ebenezer,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10218,Edensor Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10219,Edgecliff,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10220,Edmondson Park,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10221,Elanora Heights,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10222,Elderslie,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10223,Elizabeth Bay,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10224,Elizabeth Hills,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10225,Ellis Lane,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10226,Elvina Bay,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10227,Emerton,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
